Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
31/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,78.03
03/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.43
04/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.62
05/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.94
06/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.62
07/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.11
10/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.01
11/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.46
12/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,75.98
13/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.15
14/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,75.88
17/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,75.94
18/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.25
19/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.77
20/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.45
21/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.94
24/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.44
25/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.34
26/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,78.89
27/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,78.52
28/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,78.13
01/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.49
02/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.9
03/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.1
04/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,75.24
05/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.32
08/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,74.08
09/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.63
10/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.65
11/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.88
12/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,72.84
15/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.84
16/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,72.82
17/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,72.31
18/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,71.33
19/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,70.51
22/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.65
23/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.39
24/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,70.81
25/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,71.81
26/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,72.61
29/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,72.97
30/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.45
31/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,75.67
01/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,78.14
02/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,78.58
05/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.94
