Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
31/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,326.79916
03/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,329.8158
04/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,328.84555
05/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,327.84537
06/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,330.23669
07/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,330.23669
10/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,339.76068
11/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,340.01904
12/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,345.47266
13/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,347.20911
14/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,347.20911
17/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,348.22391
18/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,344.62921
19/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,348.79626
20/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,345.23346
21/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,345.23346
24/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,348.42413
25/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,348.68463
26/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,351.35608
27/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,352.81488
28/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,352.81488
01/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,350.80484
02/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,353.52603
03/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,354.14209
04/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,357.35013
05/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,357.35013
08/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,362.81766
09/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,360.30087
10/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,360.63437
11/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,360.6264
12/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,360.6264
15/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,353.18402
16/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,350.8075
17/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,357.5112
18/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,355.56723
19/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,357.60986
22/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,354.2298
23/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,349.97299
24/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,347.06696
25/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,345.64526
26/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,345.64526
29/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,332.89587
30/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,337.88321
31/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,338.25204
01/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,336.92014
02/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,336.92014
05/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,327.47409
