Date,PX_LAST
29/11/2002,302.36
02/12/2002,304.42
03/12/2002,304.86
04/12/2002,300.28
05/12/2002,300.2
06/12/2002,299.28
09/12/2002,299.93
10/12/2002,297.61
11/12/2002,297.04
12/12/2002,298.99
13/12/2002,298.58
16/12/2002,297.39
17/12/2002,299.8
18/12/2002,299.44
19/12/2002,300.03
20/12/2002,301.89
23/12/2002,299.24
24/12/2002,297.13
25/12/2002,296.8
26/12/2002,297.39
27/12/2002,295.99
30/12/2002,291.95
31/12/2002,292.09
01/01/2003,292.2
02/01/2003,294.09
03/01/2003,299.98
06/01/2003,303.36
07/01/2003,301.38
08/01/2003,302.09
09/01/2003,301.4
10/01/2003,302.86
13/01/2003,307.11
14/01/2003,307.62
15/01/2003,308.01
16/01/2003,305.99
17/01/2003,301.96
20/01/2003,300.88
21/01/2003,298.36
22/01/2003,296.08
23/01/2003,297.76
24/01/2003,293.9
27/01/2003,288.79
28/01/2003,290.18
29/01/2003,289.05
30/01/2003,289.85
31/01/2003,290.44
03/02/2003,291.89
04/02/2003,291.57
05/02/2003,291.48
06/02/2003,287.81
07/02/2003,284.59
10/02/2003,282.16
11/02/2003,282.63
12/02/2003,283.76
13/02/2003,279.39
14/02/2003,279.25
17/02/2003,286.24
18/02/2003,286.82
19/02/2003,285.38
20/02/2003,285.97
21/02/2003,286.75
24/02/2003,287.92
25/02/2003,282.38
26/02/2003,281.67
27/02/2003,281.61
28/02/2003,281.29
03/03/2003,284.66
04/03/2003,281.54
05/03/2003,278.24
06/03/2003,276.21
07/03/2003,274.43
10/03/2003,271.69
11/03/2003,269.71
12/03/2003,269.71
13/03/2003,272.29
14/03/2003,275.25
17/03/2003,269.88
18/03/2003,276.83
19/03/2003,276.81
20/03/2003,281.07
21/03/2003,282.19
24/03/2003,279.26
25/03/2003,277.98
26/03/2003,278.74
27/03/2003,277.43
28/03/2003,277.32
31/03/2003,272.27
01/04/2003,273.66
02/04/2003,276.15
03/04/2003,277.75
04/04/2003,281.02
07/04/2003,287.2
08/04/2003,285.74
09/04/2003,283.49
10/04/2003,283.68
11/04/2003,284.7
14/04/2003,286.32
15/04/2003,290.74
16/04/2003,294.29
17/04/2003,294.46
18/04/2003,297.28
21/04/2003,297.38
22/04/2003,293.88
23/04/2003,294.13
24/04/2003,290.03
25/04/2003,285.77
28/04/2003,287.67
29/04/2003,294.1
30/04/2003,295.17
01/05/2003,295.29
02/05/2003,296.71
05/05/2003,299.46
06/05/2003,299.38
07/05/2003,302.19
08/05/2003,300.21
09/05/2003,302.46
12/05/2003,305.9
13/05/2003,305.68
14/05/2003,305
15/05/2003,305.23
16/05/2003,303.02
19/05/2003,300.5
20/05/2003,299.84
21/05/2003,300.25
22/05/2003,302.12
23/05/2003,307.08
26/05/2003,310.8
27/05/2003,309.11
28/05/2003,312.9
29/05/2003,314.84
30/05/2003,315.44
02/06/2003,319.47
03/06/2003,318.19
04/06/2003,319.85
05/06/2003,322.71
06/06/2003,324.48
09/06/2003,325.73
10/06/2003,325.05
11/06/2003,325.35
12/06/2003,328.98
13/06/2003,330.16
16/06/2003,331.69
17/06/2003,337.56
18/06/2003,335.59
19/06/2003,337.3
20/06/2003,336.28
23/06/2003,331.64
24/06/2003,329.68
25/06/2003,332.69
26/06/2003,332.52
27/06/2003,333.57
30/06/2003,332.68
01/07/2003,336.75
02/07/2003,341.33
03/07/2003,343.23
04/07/2003,344.82
07/07/2003,349.76
08/07/2003,351.53
09/07/2003,349.71
10/07/2003,346.82
11/07/2003,346.42
14/07/2003,353.43
15/07/2003,352.01
16/07/2003,350.35
17/07/2003,346.22
18/07/2003,344.54
21/07/2003,343.65
22/07/2003,344.92
23/07/2003,344.19
24/07/2003,347.6
25/07/2003,350.41
28/07/2003,354.46
29/07/2003,353.35
30/07/2003,351.26
31/07/2003,352.62
01/08/2003,353.23
04/08/2003,351.95
05/08/2003,350.15
06/08/2003,347.05
07/08/2003,349.72
08/08/2003,349.61
11/08/2003,352.33
12/08/2003,352.78
13/08/2003,357.54
14/08/2003,360.92
15/08/2003,362.18
18/08/2003,364.59
19/08/2003,365.88
20/08/2003,366.43
21/08/2003,371.42
22/08/2003,372.85
25/08/2003,371.34
26/08/2003,369.32
27/08/2003,371.08
28/08/2003,371.56
29/08/2003,375.52
01/09/2003,378.9
02/09/2003,378.7
03/09/2003,381.62
04/09/2003,382.8
05/09/2003,384.73
08/09/2003,386.1
09/09/2003,384.81
10/09/2003,383.48
11/09/2003,384.03
12/09/2003,383.97
15/09/2003,380.49
16/09/2003,383.68
17/09/2003,384.77
18/09/2003,384.31
19/09/2003,382.83
22/09/2003,378.86
23/09/2003,380.46
24/09/2003,383.3
25/09/2003,379.63
26/09/2003,376.66
29/09/2003,377
30/09/2003,377.63
01/10/2003,381.67
02/10/2003,387.05
03/10/2003,390.32
06/10/2003,393.78
07/10/2003,395.94
08/10/2003,398.57
09/10/2003,403.69
10/10/2003,407.88
13/10/2003,410.49
14/10/2003,408.72
15/10/2003,407.81
16/10/2003,411.61
17/10/2003,409.65
20/10/2003,411.1
21/10/2003,410.05
22/10/2003,408.93
23/10/2003,400.73
24/10/2003,400.68
27/10/2003,400.97
28/10/2003,407.08
29/10/2003,408.79
30/10/2003,409.89
31/10/2003,409.11
03/11/2003,415.49
04/11/2003,417.48
05/11/2003,417.58
06/11/2003,413.77
07/11/2003,416.47
10/11/2003,414.11
11/11/2003,409.64
12/11/2003,412.51
13/11/2003,417.6
14/11/2003,417.67
17/11/2003,410.3
18/11/2003,410.77
19/11/2003,404.27
20/11/2003,401.15
21/11/2003,403.72
24/11/2003,401.04
25/11/2003,405.5
26/11/2003,408.9
27/11/2003,408.63
28/11/2003,413.33
01/12/2003,421.29
02/12/2003,422.68
03/12/2003,423.65
04/12/2003,421.19
05/12/2003,419.68
08/12/2003,418.73
09/12/2003,423.1
10/12/2003,421.77
11/12/2003,423.51
12/12/2003,426.37
15/12/2003,429.6
16/12/2003,425.65
17/12/2003,421.97
18/12/2003,425.78
19/12/2003,427.76
22/12/2003,430.57
23/12/2003,430.64
24/12/2003,432.37
25/12/2003,432.43
26/12/2003,433.36
29/12/2003,436.3
30/12/2003,441.63
31/12/2003,442.78
01/01/2004,443.14
02/01/2004,450.7
05/01/2004,462.29
06/01/2004,460.95
07/01/2004,459.84
08/01/2004,461.86
09/01/2004,468.07
12/01/2004,467.36
13/01/2004,467.66
14/01/2004,464.13
15/01/2004,458.75
16/01/2004,459.11
19/01/2004,462.46
20/01/2004,467.07
21/01/2004,465.47
22/01/2004,465.64
23/01/2004,467.9
26/01/2004,469.77
27/01/2004,471.43
28/01/2004,468.84
29/01/2004,459.23
30/01/2004,457.19
02/02/2004,456.76
03/02/2004,457.28
04/02/2004,455.68
05/02/2004,453.64
06/02/2004,459.98
09/02/2004,467.95
10/02/2004,468.95
11/02/2004,472.08
12/02/2004,477.17
13/02/2004,480.05
16/02/2004,479.63
17/02/2004,483.69
18/02/2004,483.19
19/02/2004,478.54
20/02/2004,475.48
23/02/2004,473.38
24/02/2004,470.44
25/02/2004,470.96
26/02/2004,472.6
27/02/2004,477.73
01/03/2004,485.28
02/03/2004,488.37
03/03/2004,482.41
04/03/2004,485.45
05/03/2004,488.31
08/03/2004,486.31
09/03/2004,485.25
10/03/2004,476.34
11/03/2004,469.34
12/03/2004,466.8
15/03/2004,464.25
16/03/2004,464.57
17/03/2004,470.02
18/03/2004,474.64
19/03/2004,476.81
22/03/2004,468.37
23/03/2004,465.32
24/03/2004,465.21
25/03/2004,463.31
26/03/2004,466.63
29/03/2004,473
30/03/2004,476.44
31/03/2004,482.06
01/04/2004,485.34
02/04/2004,487.02
05/04/2004,490.44
06/04/2004,493.09
07/04/2004,494.83
08/04/2004,495.86
