Date,PX_LAST
29/11/2002,1000
02/12/2002,1003.14
03/12/2002,1000.98
04/12/2002,1002.02
05/12/2002,1003.35
06/12/2002,1005.03
09/12/2002,997.43
10/12/2002,1000.21
11/12/2002,996.85
12/12/2002,1005.13
13/12/2002,1004.38
16/12/2002,999.64
17/12/2002,988.98
18/12/2002,989.27
19/12/2002,985.93
20/12/2002,989.91
23/12/2002,980.2
24/12/2002,979.74
25/12/2002,984.2
26/12/2002,981.17
27/12/2002,982.44
30/12/2002,981.66
31/12/2002,984.22
01/01/2003,983.88
02/01/2003,977.19
03/01/2003,986.54
06/01/2003,989.83
07/01/2003,980.41
08/01/2003,983.29
09/01/2003,985.34
10/01/2003,994.08
13/01/2003,999.72
14/01/2003,1008.36
15/01/2003,1010.75
16/01/2003,1007.83
17/01/2003,1006.56
20/01/2003,1010.67
21/01/2003,1014.59
22/01/2003,1012.92
23/01/2003,1019.14
24/01/2003,1018.02
27/01/2003,1012.46
28/01/2003,1011.23
29/01/2003,1005.07
30/01/2003,1008.83
31/01/2003,1005.95
03/02/2003,1008.88
04/02/2003,1002.31
05/02/2003,998.5
06/02/2003,1004.71
07/02/2003,1006.28
10/02/2003,997.77
11/02/2003,998.18
12/02/2003,999.04
13/02/2003,997.12
14/02/2003,994.4
17/02/2003,1009.78
18/02/2003,1016.06
19/02/2003,1013.22
20/02/2003,1009.2
21/02/2003,1006.72
24/02/2003,1000.77
25/02/2003,992.34
26/02/2003,990.27
27/02/2003,994.67
28/02/2003,999.01
03/03/2003,987.4
04/03/2003,991.79
05/03/2003,993.8
06/03/2003,992.34
07/03/2003,991.78
10/03/2003,982.81
11/03/2003,978.42
12/03/2003,978.65
13/03/2003,976.41
14/03/2003,981.22
17/03/2003,954.45
18/03/2003,979.67
19/03/2003,970.31
20/03/2003,974.28
21/03/2003,969.32
24/03/2003,965.51
25/03/2003,971.38
26/03/2003,981.59
27/03/2003,986.75
28/03/2003,988.05
31/03/2003,983.06
01/04/2003,985.07
02/04/2003,987.46
03/04/2003,995.53
04/04/2003,1007.4
07/04/2003,1031.39
08/04/2003,1032.39
09/04/2003,1042.56
10/04/2003,1042.47
11/04/2003,1050.08
14/04/2003,1052.92
15/04/2003,1057.43
16/04/2003,1070.93
17/04/2003,1069.63
18/04/2003,1069.09
21/04/2003,1090.2
22/04/2003,1081.37
23/04/2003,1075.58
24/04/2003,1066.2
25/04/2003,1061.04
28/04/2003,1063.61
29/04/2003,1078.16
30/04/2003,1091.62
01/05/2003,1093.68
02/05/2003,1089.91
05/05/2003,1098.22
06/05/2003,1097.57
07/05/2003,1102.01
08/05/2003,1101.91
09/05/2003,1103.99
12/05/2003,1109
13/05/2003,1106.69
14/05/2003,1103.22
15/05/2003,1102.16
16/05/2003,1100.08
19/05/2003,1098.4
20/05/2003,1107.41
21/05/2003,1113.56
22/05/2003,1119.4
23/05/2003,1135.42
26/05/2003,1151.09
27/05/2003,1155.8
28/05/2003,1167.66
29/05/2003,1171.68
30/05/2003,1171.83
02/06/2003,1184.87
03/06/2003,1178.68
04/06/2003,1183.13
05/06/2003,1193.18
06/06/2003,1190.94
09/06/2003,1190.97
10/06/2003,1189.17
11/06/2003,1194.48
12/06/2003,1194.75
13/06/2003,1201.6
16/06/2003,1213.42
17/06/2003,1227.8
18/06/2003,1223.34
19/06/2003,1227.99
20/06/2003,1224.56
23/06/2003,1215.02
24/06/2003,1196.6
25/06/2003,1204.39
26/06/2003,1205.27
27/06/2003,1209.4
30/06/2003,1204.83
01/07/2003,1202.14
02/07/2003,1218.54
03/07/2003,1230.13
04/07/2003,1231.48
07/07/2003,1230.71
08/07/2003,1244.58
09/07/2003,1228.53
10/07/2003,1225.71
11/07/2003,1233.12
14/07/2003,1241.93
15/07/2003,1256.57
16/07/2003,1248.47
17/07/2003,1241.7
18/07/2003,1239.25
21/07/2003,1241.04
22/07/2003,1229.31
23/07/2003,1218.42
24/07/2003,1214.25
25/07/2003,1222.61
28/07/2003,1221.09
29/07/2003,1215.79
30/07/2003,1213.7
31/07/2003,1219.94
01/08/2003,1222.39
04/08/2003,1232.75
05/08/2003,1231.88
06/08/2003,1228.53
07/08/2003,1244.11
08/08/2003,1246.77
11/08/2003,1264.39
12/08/2003,1266.83
13/08/2003,1282.71
14/08/2003,1279.86
15/08/2003,1283.39
18/08/2003,1277.28
19/08/2003,1283.25
20/08/2003,1278.58
21/08/2003,1291.49
22/08/2003,1298
25/08/2003,1289.15
26/08/2003,1281.17
27/08/2003,1279.44
28/08/2003,1279.81
29/08/2003,1278.26
01/09/2003,1291.99
02/09/2003,1292.87
03/09/2003,1306.31
04/09/2003,1316.07
05/09/2003,1332.22
08/09/2003,1341.38
09/09/2003,1350.31
10/09/2003,1351.46
11/09/2003,1344.58
12/09/2003,1356.66
15/09/2003,1357.99
16/09/2003,1367.07
17/09/2003,1365.25
18/09/2003,1373.75
19/09/2003,1386.29
22/09/2003,1390.79
23/09/2003,1396.62
24/09/2003,1412.06
25/09/2003,1407.17
26/09/2003,1405.88
29/09/2003,1401.13
30/09/2003,1400.26
01/10/2003,1406.84
02/10/2003,1414.22
03/10/2003,1417.56
06/10/2003,1433
07/10/2003,1439.49
08/10/2003,1447.63
09/10/2003,1457.51
10/10/2003,1477.88
13/10/2003,1463.55
14/10/2003,1448.65
15/10/2003,1455.84
16/10/2003,1462.31
17/10/2003,1454.99
20/10/2003,1455.04
21/10/2003,1453.09
22/10/2003,1459.81
23/10/2003,1444.59
24/10/2003,1445.87
27/10/2003,1434.21
28/10/2003,1437.51
29/10/2003,1443.23
30/10/2003,1461.84
31/10/2003,1472.94
03/11/2003,1493.58
04/11/2003,1499.94
05/11/2003,1511.15
06/11/2003,1493.75
07/11/2003,1495.84
10/11/2003,1484.33
11/11/2003,1470.8
12/11/2003,1480.47
13/11/2003,1485.55
14/11/2003,1489.65
17/11/2003,1478.04
18/11/2003,1482.63
19/11/2003,1470.9
20/11/2003,1449.95
21/11/2003,1461.02
24/11/2003,1463.08
25/11/2003,1471.29
26/11/2003,1487.65
27/11/2003,1485.85
28/11/2003,1492.03
01/12/2003,1520.86
02/12/2003,1527.71
03/12/2003,1538.95
04/12/2003,1532.63
05/12/2003,1534.97
08/12/2003,1550.08
09/12/2003,1552.42
10/12/2003,1545.48
11/12/2003,1561.36
12/12/2003,1574.23
15/12/2003,1599.04
16/12/2003,1589.64
17/12/2003,1584.84
18/12/2003,1603.82
19/12/2003,1618.28
22/12/2003,1629.76
23/12/2003,1633.72
24/12/2003,1643.48
25/12/2003,1648.21
26/12/2003,1661.05
29/12/2003,1688.68
30/12/2003,1701.09
31/12/2003,1712.46
01/01/2004,1712.55
02/01/2004,1725.91
05/01/2004,1776.03
06/01/2004,1755.7
07/01/2004,1743.8
08/01/2004,1762.93
09/01/2004,1794.21
12/01/2004,1794.6
13/01/2004,1787.45
14/01/2004,1771.58
15/01/2004,1760.58
16/01/2004,1753.91
19/01/2004,1752.06
20/01/2004,1778
21/01/2004,1781.97
22/01/2004,1773.98
23/01/2004,1778.14
26/01/2004,1747.94
27/01/2004,1750.6
28/01/2004,1746.34
29/01/2004,1715.28
30/01/2004,1712.34
02/02/2004,1694.17
03/02/2004,1706.21
04/02/2004,1714.38
05/02/2004,1723.54
06/02/2004,1724.62
09/02/2004,1748.67
10/02/2004,1759.39
11/02/2004,1781.13
12/02/2004,1800.92
13/02/2004,1809.11
16/02/2004,1807.18
17/02/2004,1801.99
18/02/2004,1800.62
19/02/2004,1775.31
20/02/2004,1770.95
23/02/2004,1756.35
24/02/2004,1756.84
25/02/2004,1747.2
26/02/2004,1739.66
27/02/2004,1743.17
01/03/2004,1736.08
02/03/2004,1741.17
03/03/2004,1719.73
04/03/2004,1720.9
05/03/2004,1731.35
08/03/2004,1736.72
09/03/2004,1738.01
10/03/2004,1731.88
11/03/2004,1716.85
12/03/2004,1708.71
15/03/2004,1688.42
16/03/2004,1674.75
17/03/2004,1682.18
18/03/2004,1701.67
19/03/2004,1708.3
22/03/2004,1713.52
23/03/2004,1702.12
24/03/2004,1700.93
25/03/2004,1694.04
26/03/2004,1700.02
29/03/2004,1689.29
30/03/2004,1686.51
31/03/2004,1703.22
01/04/2004,1724.76
02/04/2004,1744.52
05/04/2004,1755.73
06/04/2004,1764.91
07/04/2004,1764.82
08/04/2004,1753.47
09/04/2004,1755.73
12/04/2004,1748.21
13/04/2004,1745.34
14/04/2004,1740.51
15/04/2004,1739.55
16/04/2004,1765.02
19/04/2004,1772.49
20/04/2004,1779.98
21/04/2004,1766.01
22/04/2004,1756.5
23/04/2004,1760.73
26/04/2004,1732.9
27/04/2004,1728.95
28/04/2004,1713.75
29/04/2004,1684.29
30/04/2004,1673.74
03/05/2004,1657.19
04/05/2004,1666.78
05/05/2004,1673.06
06/05/2004,1646.95
07/05/2004,1625.84
10/05/2004,1578.64
11/05/2004,1584.5
12/05/2004,1595.82
13/05/2004,1577.37
14/05/2004,1571.02
17/05/2004,1525.32
18/05/2004,1536.17
19/05/2004,1573.97
20/05/2004,1566.8
21/05/2004,1587.63
24/05/2004,1595.11
25/05/2004,1589.47
26/05/2004,1601.1
27/05/2004,1620.01
28/05/2004,1627.81
31/05/2004,1621.72
01/06/2004,1615.58
02/06/2004,1611.11
03/06/2004,1603.72
04/06/2004,1608.13
07/06/2004,1619.48
08/06/2004,1610.48
09/06/2004,1608.07
10/06/2004,1607.86
11/06/2004,1604.19
14/06/2004,1604.45
15/06/2004,1609.82
16/06/2004,1609.01
17/06/2004,1606.84
18/06/2004,1606.89
21/06/2004,1608.51
22/06/2004,1601
23/06/2004,1600.29
24/06/2004,1612.97
25/06/2004,1627.04
28/06/2004,1639.59
29/06/2004,1640.9
30/06/2004,1645.77
01/07/2004,1653.91
02/07/2004,1669.61
05/07/2004,1674.78
06/07/2004,1686.4
07/07/2004,1692.12
08/07/2004,1682.34
09/07/2004,1692.43
12/07/2004,1696.33
13/07/2004,1696.62
14/07/2004,1688.59
15/07/2004,1689.64
16/07/2004,1700.2
19/07/2004,1694.98
20/07/2004,1696.19
21/07/2004,1702.11
22/07/2004,1696.98
23/07/2004,1695.15
26/07/2004,1671.37
27/07/2004,1671.4
28/07/2004,1679.98
29/07/2004,1680.12
30/07/2004,1689.78
02/08/2004,1693.36
03/08/2004,1690.53
04/08/2004,1675.66
05/08/2004,1680.97
06/08/2004,1676.66
09/08/2004,1676.62
10/08/2004,1679.15
11/08/2004,1666.33
12/08/2004,1662.01
13/08/2004,1657.95
16/08/2004,1659.5
17/08/2004,1671.46
18/08/2004,1668
19/08/2004,1665.69
20/08/2004,1661.75
23/08/2004,1655.89
24/08/2004,1656.95
25/08/2004,1658.52
26/08/2004,1667.01
27/08/2004,1677.44
30/08/2004,1675.7
31/08/2004,1689.06
01/09/2004,1704.2
02/09/2004,1709.04
03/09/2004,1713.82
06/09/2004,1715.82
07/09/2004,1722.62
08/09/2004,1734.16
09/09/2004,1739.1
10/09/2004,1740.75
13/09/2004,1748.27
14/09/2004,1777.02
15/09/2004,1786.98
16/09/2004,1785.76
17/09/2004,1778.32
20/09/2004,1779.27
21/09/2004,1793.59
22/09/2004,1791.84
23/09/2004,1793.75
24/09/2004,1796.67
27/09/2004,1788.55
28/09/2004,1778.76
29/09/2004,1780.26
30/09/2004,1791.11
01/10/2004,1801.77
04/10/2004,1832.94
05/10/2004,1828.32
06/10/2004,1831.42
07/10/2004,1832.65
08/10/2004,1845.4
11/10/2004,1841.02
12/10/2004,1821.03
13/10/2004,1832.09
14/10/2004,1811.45
15/10/2004,1816.43
18/10/2004,1814.56
19/10/2004,1826.87
20/10/2004,1819.49
21/10/2004,1818.66
22/10/2004,1832.31
25/10/2004,1827.98
26/10/2004,1820.79
27/10/2004,1814.66
28/10/2004,1822.58
29/10/2004,1834.98
01/11/2004,1836.06
02/11/2004,1853.63
03/11/2004,1866.1
04/11/2004,1861.51
05/11/2004,1869.97
08/11/2004,1869.62
09/11/2004,1878.66
10/11/2004,1882.8
11/11/2004,1884.16
12/11/2004,1898.93
15/11/2004,1905.05
16/11/2004,1903.38
17/11/2004,1908.89
18/11/2004,1918.47
19/11/2004,1928.29
22/11/2004,1936.79
23/11/2004,1957.75
24/11/2004,1964.23
25/11/2004,1968.78
26/11/2004,1967.39
29/11/2004,1977.03
30/11/2004,1979.87
01/12/2004,1988.17
02/12/2004,2000.14
03/12/2004,2001.36
06/12/2004,2004.85
07/12/2004,2002.1
08/12/2004,1982.83
09/12/2004,1978.32
10/12/2004,1972.36
13/12/2004,1985.26
14/12/2004,1987.83
15/12/2004,2010.15
16/12/2004,2026.72
17/12/2004,2044.42
20/12/2004,2053.74
21/12/2004,2047.34
22/12/2004,2054.85
23/12/2004,2055.97
24/12/2004,2060.67
27/12/2004,2061.84
28/12/2004,2064.43
29/12/2004,2070.82
30/12/2004,2078.88
31/12/2004,2084.54
03/01/2005,2114.47
04/01/2005,2121.62
05/01/2005,2107.56
06/01/2005,2116.69
07/01/2005,2131.64
10/01/2005,2137.38
11/01/2005,2144.66
12/01/2005,2158.47
13/01/2005,2170.02
14/01/2005,2174.19
17/01/2005,2203.41
18/01/2005,2193.37
19/01/2005,2198.8
20/01/2005,2198.98
21/01/2005,2193.57
24/01/2005,2194.69
25/01/2005,2204.44
26/01/2005,2217.27
27/01/2005,2219.6
28/01/2005,2222.21
31/01/2005,2233.76
01/02/2005,2244.99
02/02/2005,2261.59
03/02/2005,2263.53
04/02/2005,2273.34
07/02/2005,2287.01
08/02/2005,2277.19
09/02/2005,2269.36
10/02/2005,2277.17
11/02/2005,2285.37
14/02/2005,2315.11
15/02/2005,2337.68
16/02/2005,2340.54
17/02/2005,2340.97
18/02/2005,2351.86
21/02/2005,2341.43
22/02/2005,2353.34
23/02/2005,2367.36
24/02/2005,2393.83
25/02/2005,2404.7
28/02/2005,2448.04
01/03/2005,2440.67
