Date,PX_LAST
29/11/2002,833.47
02/12/2002,831.76
03/12/2002,820
04/12/2002,815.67
05/12/2002,806.44
06/12/2002,810.42
09/12/2002,794.43
10/12/2002,801.91
11/12/2002,804.15
12/12/2002,801.18
13/12/2002,793.31
16/12/2002,809.05
17/12/2002,804.57
18/12/2002,791.59
19/12/2002,787.86
20/12/2002,796.21
23/12/2002,798.34
24/12/2002,797.34
25/12/2002,797.1
26/12/2002,797
27/12/2002,784.06
30/12/2002,789.43
31/12/2002,792.21
01/01/2003,792.21
02/01/2003,811.36
03/01/2003,813.91
06/01/2003,829.41
07/01/2003,822.02
08/01/2003,809.47
09/01/2003,822.24
10/01/2003,824.47
13/01/2003,824.67
14/01/2003,830.67
15/01/2003,821.25
16/01/2003,818.89
17/01/2003,808.77
20/01/2003,804.79
21/01/2003,795.88
22/01/2003,786.96
23/01/2003,792.89
24/01/2003,777.97
27/01/2003,761.21
28/01/2003,766.4
29/01/2003,769.99
30/01/2003,762.44
31/01/2003,767.48
03/02/2003,774.55
04/02/2003,764.51
05/02/2003,765.28
06/02/2003,756.98
07/02/2003,750.08
10/02/2003,750.65
11/02/2003,750.68
12/02/2003,742.73
13/02/2003,742.42
14/02/2003,754.25
17/02/2003,758.1
18/02/2003,768.08
19/02/2003,761.16
20/02/2003,757.09
21/02/2003,763.52
24/02/2003,753.14
25/02/2003,747.71
26/02/2003,741.42
27/02/2003,746.79
28/02/2003,752.86
03/03/2003,752.71
04/03/2003,742.54
05/03/2003,745.77
06/03/2003,739.08
07/03/2003,737.98
10/03/2003,721.25
11/03/2003,716.18
12/03/2003,710.79
13/03/2003,732.31
14/03/2003,740.35
17/03/2003,760.21
18/03/2003,762.88
19/03/2003,768.82
20/03/2003,770.8
21/03/2003,785.87
24/03/2003,764.79
25/03/2003,771.8
26/03/2003,770.1
27/03/2003,766.6
28/03/2003,762.95
31/03/2003,748.63
01/04/2003,756.64
02/04/2003,773.24
03/04/2003,771.6
04/04/2003,774.86
07/04/2003,782.85
08/04/2003,778.79
09/04/2003,771.81
10/04/2003,772.94
11/04/2003,770.3
14/04/2003,781.18
15/04/2003,789.09
16/04/2003,782.68
17/04/2003,792.66
18/04/2003,792.77
21/04/2003,790.63
22/04/2003,803.89
23/04/2003,810.8
24/04/2003,805.3
25/04/2003,794.41
28/04/2003,806.67
29/04/2003,808.14
30/04/2003,813.3
01/05/2003,814.95
02/05/2003,822.5
05/05/2003,824.16
06/05/2003,834.83
07/05/2003,830.66
08/05/2003,821.62
09/05/2003,831.39
12/05/2003,839.97
13/05/2003,838.57
14/05/2003,838.03
15/05/2003,843.04
16/05/2003,844.29
19/05/2003,826.25
20/05/2003,826.13
21/05/2003,826.24
22/05/2003,834.24
23/05/2003,836.94
26/05/2003,837.79
27/05/2003,847.74
28/05/2003,850.66
29/05/2003,852.53
30/05/2003,857.65
02/06/2003,865.51
03/06/2003,865.87
04/06/2003,875.96
05/06/2003,881.73
06/06/2003,883.29
09/06/2003,875.65
10/06/2003,879.57
11/06/2003,892.27
12/06/2003,894.31
13/06/2003,887.46
16/06/2003,903.27
17/06/2003,907.26
18/06/2003,905.35
19/06/2003,893.21
20/06/2003,894.19
23/06/2003,880.92
24/06/2003,877.85
25/06/2003,876.46
26/06/2003,877.82
27/06/2003,874.18
30/06/2003,871.07
01/07/2003,874.43
02/07/2003,886.36
03/07/2003,885.82
04/07/2003,883.66
07/07/2003,897.99
08/07/2003,898.61
09/07/2003,894.79
10/07/2003,884.99
11/07/2003,889.53
14/07/2003,897.45
15/07/2003,892.5
16/07/2003,886.41
17/07/2003,874.81
18/07/2003,881.67
21/07/2003,874.57
22/07/2003,880.35
23/07/2003,884
24/07/2003,885.98
25/07/2003,894.61
28/07/2003,896.44
29/07/2003,891.69
30/07/2003,886.78
31/07/2003,887.78
01/08/2003,880.79
04/08/2003,880.93
05/08/2003,872.99
06/08/2003,869.98
07/08/2003,875.53
08/08/2003,878.4
11/08/2003,882.79
12/08/2003,889.21
13/08/2003,887.78
14/08/2003,894.79
15/08/2003,895.26
18/08/2003,901.28
19/08/2003,902.64
20/08/2003,903.24
21/08/2003,904.56
22/08/2003,897.74
25/08/2003,896.49
26/08/2003,895.16
27/08/2003,897.03
28/08/2003,901.24
29/08/2003,905.32
01/09/2003,910.64
02/09/2003,916.59
03/09/2003,922.91
04/09/2003,924.45
05/09/2003,922.87
08/09/2003,931.58
09/09/2003,927.77
10/09/2003,918.01
11/09/2003,919.34
12/09/2003,922.99
15/09/2003,921.6
16/09/2003,931.85
17/09/2003,933.32
18/09/2003,944.1
19/09/2003,942.48
22/09/2003,932.75
23/09/2003,935.67
24/09/2003,925.68
25/09/2003,918.89
26/09/2003,912.19
29/09/2003,916.9
30/09/2003,909.64
01/10/2003,928.39
02/10/2003,933.33
03/10/2003,944.23
06/10/2003,946.83
07/10/2003,951.58
08/10/2003,947.36
09/10/2003,953.81
10/10/2003,956.27
13/10/2003,961.55
14/10/2003,964.3
15/10/2003,963.25
16/10/2003,967.05
17/10/2003,959.43
20/10/2003,963.09
21/10/2003,965.06
22/10/2003,953.54
23/10/2003,947.08
24/10/2003,946.11
27/10/2003,949.99
28/10/2003,960.51
29/10/2003,963.82
