Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
31/05/2002,2876.601,2876.601,3027.762,3027.762
03/06/2002,2876.601,2876.601,3027.762,3068.275
04/06/2002,2876.601,2876.601,3027.762,3023.306
05/06/2002,2876.601,2876.601,3027.762,2999.651
06/06/2002,2876.601,2876.601,3027.762,2988.716
07/06/2002,2876.601,2876.601,3027.762,2962.605
10/06/2002,2876.601,2876.601,3027.762,2941.998
11/06/2002,2876.601,2876.601,3027.762,2936.385
12/06/2002,2876.601,2876.601,3027.762,2917.214
13/06/2002,2876.601,2876.601,3027.762,2877.282
14/06/2002,2876.601,2876.601,3027.762,2839.312
17/06/2002,2876.601,2876.601,3027.762,2760.462
18/06/2002,2876.601,2876.601,3027.762,2802.005
19/06/2002,2876.601,2876.601,3027.762,2735.604
20/06/2002,2876.601,2876.601,3027.762,2775.441
21/06/2002,2876.601,2876.601,3027.762,2759.319
24/06/2002,2876.601,2876.601,3027.762,2790.153
25/06/2002,2876.601,2876.601,3027.762,2785.133
26/06/2002,2876.601,2876.601,3027.762,2755.792
27/06/2002,2876.601,2876.601,3027.762,2774.45
28/06/2002,2876.601,2876.601,3027.762,2869.983
01/07/2002,2876.601,2876.601,3027.762,2865.094
02/07/2002,2876.601,2876.601,3027.762,2866.008
03/07/2002,2876.601,2876.601,3027.762,2913.27
04/07/2002,2876.601,2876.601,3027.762,2876.145
05/07/2002,2876.601,2876.601,3027.762,2902.474
08/07/2002,2876.601,2876.601,3027.762,2918.763
09/07/2002,2976.754,2976.754,2976.754,2976.754
10/07/2002,2976.754,2976.754,2976.754,2935.821
11/07/2002,2976.754,2976.754,2976.754,2910.103
12/07/2002,2976.754,2976.754,2976.754,2921.333
15/07/2002,2976.754,2976.754,2976.754,2884.53
16/07/2002,2976.754,2976.754,2976.754,2842.064
17/07/2002,2976.754,2976.754,2976.754,2839.46
18/07/2002,2976.754,2976.754,2976.754,2888.585
19/07/2002,2976.754,2976.754,2976.754,2848.067
22/07/2002,2976.754,2976.754,2976.754,2833.778
23/07/2002,2976.754,2976.754,2976.754,2816.448
24/07/2002,2976.754,2976.754,2976.754,2785.079
25/07/2002,2976.754,2976.754,2976.754,2751.599
26/07/2002,2976.754,2976.754,2976.754,2629.972
29/07/2002,2976.754,2976.754,2976.754,2625.724
30/07/2002,2976.754,2976.754,2976.754,2694.396
31/07/2002,2976.754,2976.754,2670.617,2670.617
01/08/2002,2976.754,2976.754,2670.617,2660.422
02/08/2002,2976.754,2976.754,2670.617,2653.861
05/08/2002,2976.754,2976.754,2670.617,2656.751
06/08/2002,2976.754,2976.754,2670.617,2570.792
07/08/2002,2976.754,2976.754,2670.617,2657.09
08/08/2002,2976.754,2976.754,2670.617,2647.532
09/08/2002,2712.315,2712.315,2712.315,2712.315
12/08/2002,2712.315,2712.315,2712.315,2683.56
13/08/2002,2712.315,2712.315,2712.315,2665.891
14/08/2002,2712.315,2712.315,2712.315,2714.379
15/08/2002,2712.315,2712.315,2712.315,2720.565
16/08/2002,2712.315,2712.315,2712.315,2719.926
19/08/2002,2712.315,2712.315,2712.315,2649.174
20/08/2002,2712.315,2712.315,2712.315,2642.948
21/08/2002,2712.315,2712.315,2712.315,2661.486
22/08/2002,2712.315,2712.315,2712.315,2676.727
23/08/2002,2712.315,2712.315,2712.315,2687.729
26/08/2002,2712.315,2712.315,2712.315,2739.187
27/08/2002,2712.315,2712.315,2712.315,2717.458
28/08/2002,2712.315,2712.315,2712.315,2684.671
29/08/2002,2712.315,2712.315,2712.315,2644.707
30/08/2002,2712.315,2712.315,2712.315,2642.259
02/09/2002,2712.315,2712.315,2712.315,2621.547
03/09/2002,2712.315,2712.315,2712.315,2566.337
04/09/2002,2712.315,2712.315,2712.315,2498.848
05/09/2002,2712.315,2712.315,2712.315,2542.446
06/09/2002,2712.315,2712.315,2712.315,2510.078
09/09/2002,2543.955,2543.955,2543.955,2543.955
10/09/2002,2543.955,2543.955,2543.955,2536.82
11/09/2002,2543.955,2543.955,2543.955,2537.004
12/09/2002,2543.955,2543.955,2543.955,2551.28
13/09/2002,2543.955,2543.955,2543.955,2501.622
16/09/2002,2543.955,2543.955,2543.955,2477.969
17/09/2002,2543.955,2543.955,2543.955,2536.466
18/09/2002,2543.955,2543.955,2543.955,2545.383
19/09/2002,2543.955,2543.955,2543.955,2599.131
20/09/2002,2543.955,2543.955,2543.955,2504.668
23/09/2002,2543.955,2543.955,2543.955,2494.247
24/09/2002,2543.955,2543.955,2543.955,2466.299
25/09/2002,2543.955,2543.955,2543.955,2442.855
26/09/2002,2543.955,2543.955,2543.955,2488.858
27/09/2002,2543.955,2543.955,2543.955,2539.305
30/09/2002,2543.955,2543.955,2543.955,2524.168
01/10/2002,2543.955,2543.955,2543.955,2457.984
02/10/2002,2543.955,2543.955,2543.955,2421.044
03/10/2002,2543.955,2543.955,2543.955,2393.79
04/10/2002,2543.955,2543.955,2543.955,2413.98
07/10/2002,2543.955,2543.955,2543.955,2307.789
08/10/2002,2543.955,2543.955,2543.955,2311.448
09/10/2002,2277.608,2277.608,2277.608,2277.608
10/10/2002,2277.608,2277.608,2277.608,2258.274
11/10/2002,2277.608,2277.608,2277.608,2282.838
14/10/2002,2277.608,2277.608,2277.608,2281.367
15/10/2002,2277.608,2277.608,2277.608,2347.013
16/10/2002,2277.608,2277.608,2277.608,2368.536
17/10/2002,2277.608,2277.608,2277.608,2368.508
18/10/2002,2277.608,2277.608,2277.608,2386.2
21/10/2002,2277.608,2277.608,2277.608,2374.677
22/10/2002,2277.608,2277.608,2277.608,2298.913
23/10/2002,2277.608,2277.608,2277.608,2323.395
24/10/2002,2277.608,2277.608,2277.608,2304.503
25/10/2002,2277.608,2277.608,2277.608,2342.615
28/10/2002,2277.608,2277.608,2277.608,2348.643
29/10/2002,2277.608,2277.608,2277.608,2348.762
30/10/2002,2277.608,2277.608,2277.608,2363.756
31/10/2002,2277.608,2277.608,2348.479,2348.479
01/11/2002,2277.608,2277.608,2348.479,2365.125
04/11/2002,2277.608,2277.608,2348.479,2360.877
05/11/2002,2277.608,2277.608,2348.479,2425.329
06/11/2002,2277.608,2277.608,2348.479,2417.31
07/11/2002,2277.608,2277.608,2348.479,2422.927
08/11/2002,2277.608,2277.608,2348.479,2400.135
11/11/2002,2277.608,2277.608,2348.479,2343.155
12/11/2002,2277.608,2277.608,2348.479,2334.838
13/11/2002,2277.608,2277.608,2348.479,2320.723
14/11/2002,2277.608,2277.608,2348.479,2283.479
15/11/2002,2277.608,2277.608,2348.479,2331.349
18/11/2002,2277.608,2277.608,2348.479,2277.624
19/11/2002,2277.608,2277.608,2348.479,2262.514
20/11/2002,2277.608,2277.608,2348.479,2276.425
21/11/2002,2277.608,2277.608,2348.479,2321.947
22/11/2002,2277.608,2277.608,2348.479,2349.041
25/11/2002,2277.608,2277.608,2348.479,2390.764
26/11/2002,2277.608,2277.608,2348.479,2377.122
27/11/2002,2277.608,2277.608,2348.479,2389.295
28/11/2002,2277.608,2277.608,2348.479,2441.535
29/11/2002,2277.608,2277.608,2348.479,2443.452
02/12/2002,2277.608,2277.608,2348.479,2397.989
03/12/2002,2277.608,2277.608,2348.479,2403.333
04/12/2002,2277.608,2277.608,2348.479,2350.608
05/12/2002,2277.608,2277.608,2348.479,2318.551
06/12/2002,2277.608,2277.608,2348.479,2333.377
09/12/2002,2325.82,2325.82,2325.82,2325.82
10/12/2002,2325.82,2325.82,2325.82,2325.06
11/12/2002,2325.82,2325.82,2325.82,2316.897
12/12/2002,2325.82,2325.82,2325.82,2319.93
13/12/2002,2325.82,2325.82,2325.82,2321.756
16/12/2002,2325.82,2325.82,2325.82,2295.385
17/12/2002,2325.82,2325.82,2325.82,2315.607
18/12/2002,2325.82,2325.82,2325.82,2263.91
19/12/2002,2325.82,2325.82,2325.82,2290.32
20/12/2002,2325.82,2325.82,2325.82,2288.315
23/12/2002,2325.82,2325.82,2325.82,2295.17
24/12/2002,2325.82,2325.82,2325.82,2319.579
25/12/2002,2325.82,2325.82,2325.82,2311.899
26/12/2002,2325.82,2325.82,2325.82,2354.05
27/12/2002,2325.82,2325.82,2325.82,2370.606
30/12/2002,2325.82,2325.82,2325.82,2383.544
31/12/2002,2325.82,2325.82,2380.632,2380.632
01/01/2003,2325.82,2325.82,2380.632,2380.632
02/01/2003,2325.82,2325.82,2380.632,2358.275
03/01/2003,2325.82,2325.82,2380.632,2358.57
06/01/2003,2325.82,2325.82,2380.632,2420.267
07/01/2003,2325.82,2325.82,2380.632,2377.308
08/01/2003,2325.82,2325.82,2380.632,2337.881
09/01/2003,2345.562,2345.562,2345.562,2345.562
10/01/2003,2345.562,2345.562,2345.562,2339.973
13/01/2003,2345.562,2345.562,2345.562,2351.678
14/01/2003,2345.562,2345.562,2345.562,2389.49
15/01/2003,2345.562,2345.562,2345.562,2420.449
16/01/2003,2345.562,2345.562,2345.562,2421.332
17/01/2003,2345.562,2345.562,2345.562,2432.554
20/01/2003,2345.562,2345.562,2345.562,2401.425
21/01/2003,2345.562,2345.562,2345.562,2423.981
22/01/2003,2345.562,2345.562,2345.562,2403.172
23/01/2003,2345.562,2345.562,2345.562,2456.31
24/01/2003,2345.562,2345.562,2345.562,2434.762
27/01/2003,2345.562,2345.562,2345.562,2379.823
28/01/2003,2345.562,2345.562,2345.562,2361.694
29/01/2003,2345.562,2345.562,2345.562,2327.415
30/01/2003,2345.562,2345.562,2345.562,2306.283
31/01/2003,2345.562,2345.562,2284.136,2284.136
03/02/2003,2345.562,2345.562,2284.136,2316.226
