Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
31/05/2002,2775.839,2775.839,2775.839,2742.772
03/06/2002,2775.839,2775.839,2775.839,2739.866
04/06/2002,2775.839,2775.839,2775.839,2742.959
05/06/2002,2775.839,2775.839,2775.839,2679.388
06/06/2002,2775.839,2775.839,2775.839,2669.398
07/06/2002,2775.839,2775.839,2775.839,2653.814
10/06/2002,2775.839,2775.839,2775.839,2661.35
11/06/2002,2775.839,2775.839,2775.839,2674.237
12/06/2002,2775.839,2775.839,2775.839,2639.583
13/06/2002,2775.839,2775.839,2775.839,2600.799
14/06/2002,2775.839,2775.839,2775.839,2531.559
17/06/2002,2775.839,2775.839,2775.839,2601.386
18/06/2002,2775.839,2775.839,2775.839,2589.102
19/06/2002,2775.839,2775.839,2775.839,2565.32
20/06/2002,2775.839,2775.839,2775.839,2541.735
21/06/2002,2775.839,2775.839,2775.839,2555.999
24/06/2002,2775.839,2775.839,2775.839,2528.96
25/06/2002,2775.839,2775.839,2775.839,2571.517
26/06/2002,2775.839,2775.839,2775.839,2561.304
27/06/2002,2775.839,2775.839,2775.839,2562.521
28/06/2002,2775.839,2775.839,2775.839,2626.933
01/07/2002,2775.839,2775.839,2775.839,2651.206
02/07/2002,2775.839,2775.839,2775.839,2575.064
03/07/2002,2775.839,2775.839,2775.839,2479.078
04/07/2002,2775.839,2775.839,2775.839,2519.437
05/07/2002,2775.839,2775.839,2775.839,2592.322
08/07/2002,2775.839,2775.839,2775.839,2607.939
09/07/2002,2775.839,2775.839,2775.839,2593.281
10/07/2002,2775.839,2775.839,2775.839,2519.58
11/07/2002,2775.839,2775.839,2775.839,2416.527
12/07/2002,2775.839,2775.839,2775.839,2415.409
15/07/2002,2775.839,2775.839,2775.839,2306.792
16/07/2002,2775.839,2775.839,2775.839,2330.894
17/07/2002,2775.839,2775.839,2775.839,2421.229
18/07/2002,2775.839,2775.839,2775.839,2486.776
19/07/2002,2775.839,2775.839,2775.839,2384.346
22/07/2002,2775.839,2775.839,2775.839,2261.865
23/07/2002,2225.435,2225.435,2225.435,2225.435
24/07/2002,2225.435,2225.435,2225.435,2194.719
25/07/2002,2225.435,2225.435,2225.435,2305.587
26/07/2002,2225.435,2225.435,2225.435,2320.147
