Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
31/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,2216.781
03/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2160.147
04/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2160.992
05/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2179.986
06/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2135.875
07/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2130.906
10/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2137.52
11/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2099.392
12/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2114.819
13/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2093.933
14/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2089.978
17/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2149.92
18/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2151.953
19/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2116.135
20/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2084.563
21/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2047.287
24/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2055.449
25/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2019.527
26/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2013.431
27/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2048.377
28/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,2047.008
01/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,1999.84
02/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,1958.522
03/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,1971.076
04/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,1971.076
05/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,2044.702
08/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,2019.119
09/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,1967.816
10/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,1903.604
11/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,1920.057
12/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,1909.172
