Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
31/05/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.992
03/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.262
04/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.815
05/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.569
06/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,78.008
07/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.52
10/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.9
11/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.599
12/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.193
13/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,77.668
14/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.722
17/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,75.337
18/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,75.07
19/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.268
20/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.937
21/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.533
24/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,74.993
25/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,74.236
26/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,72.66
27/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.488
28/06/2002,#N/A N/A,#N/A N/A,#N/A N/A,74.406
01/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,74.391
02/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.649
03/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,74.795
04/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.077
05/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.027
08/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.243
09/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,76.28
10/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,75.694
11/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,74.815
12/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,75.515
15/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,74.879
16/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,74.213
17/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.226
18/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,73.375
19/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,72.126
22/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.436
23/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,70.878
24/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.628
25/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.261
26/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.697
29/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.814
30/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.872
31/07/2002,#N/A N/A,#N/A N/A,#N/A N/A,71.154
01/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,70.532
02/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.069
05/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.924
06/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.507
07/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.251
08/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.405
09/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.189
12/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.694
13/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.629
14/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.947
15/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,70.863
16/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,70.949
19/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,71.563
20/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,72.181
21/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,72.388
22/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,72.626
23/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,71.213
26/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,71.168
27/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,70.868
28/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,70.317
29/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.722
30/08/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.77
02/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.187
03/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.236
04/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.046
05/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.557
06/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.335
09/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.701
10/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.792
11/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.736
12/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.637
13/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.178
16/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.307
17/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.225
18/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,65.651
19/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,65.572
20/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.754
23/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.959
24/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.558
25/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,63.976
26/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.728
27/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.85
30/09/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.215
01/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.217
02/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.731
03/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,63.841
04/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.348
07/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,63.069
08/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,63.137
09/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,62.83
10/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,61.557
11/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,62.087
14/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,62.103
15/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.705
16/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.103
17/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.919
18/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.419
21/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.74
22/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,65.958
23/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.414
24/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.237
25/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.236
28/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.289
29/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.041
30/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,65.524
31/10/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.582
01/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.141
04/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.24
05/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,65.591
06/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,65.672
07/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.395
08/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.44
11/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,65.576
12/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,65.402
13/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,64.978
14/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,65.525
15/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.04
18/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.985
19/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.711
20/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.664
21/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.915
22/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.186
25/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.776
26/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.315
27/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.787
28/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.07
29/11/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.255
02/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.507
03/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,69.732
04/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.159
05/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.478
06/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.569
09/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.093
10/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.161
11/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.827
12/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,68.241
13/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.696
16/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.207
17/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.61
18/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.81
19/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,66.732
20/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.327
23/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.052
24/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.164
25/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.151
26/12/2002,#N/A N/A,#N/A N/A,#N/A N/A,67.112
