Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
31/05/2002,176.557,176.557,176.557,204.196
03/06/2002,176.557,176.557,176.557,205.617
04/06/2002,201.587,201.587,201.587,201.587
05/06/2002,201.587,201.587,201.587,204.004
06/06/2002,201.587,201.587,201.587,209.098
07/06/2002,201.587,201.587,201.587,206.597
10/06/2002,201.587,201.587,201.587,210.596
11/06/2002,201.587,201.587,201.587,210.012
12/06/2002,201.587,201.587,201.587,209.74
13/06/2002,201.587,201.587,201.587,207.071
14/06/2002,201.587,201.587,201.587,199.051
17/06/2002,201.587,201.587,201.587,198.346
18/06/2002,201.587,201.587,201.587,193.691
19/06/2002,201.587,201.587,201.587,189.127
20/06/2002,201.587,201.587,201.587,182.502
21/06/2002,201.587,201.587,201.587,183.983
24/06/2002,201.587,201.587,201.587,177.311
25/06/2002,201.587,201.587,201.587,179.755
26/06/2002,201.587,201.587,201.587,173.788
27/06/2002,201.587,201.587,201.587,183.037
28/06/2002,201.587,201.587,201.587,183.335
01/07/2002,201.587,201.587,201.587,186.584
02/07/2002,201.587,201.587,201.587,184.223
03/07/2002,201.587,201.587,201.587,184.662
04/07/2002,187.362,187.362,187.362,187.362
05/07/2002,187.362,187.362,187.362,195.164
08/07/2002,187.362,187.362,187.362,194.639
09/07/2002,187.362,187.362,187.362,197.08
10/07/2002,187.362,187.362,187.362,200.222
11/07/2002,187.362,187.362,187.362,194.004
12/07/2002,187.362,187.362,187.362,192.924
15/07/2002,187.362,187.362,187.362,189.481
16/07/2002,187.362,187.362,187.362,186.719
17/07/2002,187.362,187.362,187.362,192.132
18/07/2002,187.362,187.362,187.362,191.192
19/07/2002,187.362,187.362,187.362,186.199
22/07/2002,187.362,187.362,187.362,180.304
23/07/2002,187.362,187.362,187.362,177.261
24/07/2002,187.362,187.362,187.362,165.517
25/07/2002,187.362,187.362,187.362,162.484
26/07/2002,187.362,187.362,187.362,163.39
29/07/2002,187.362,187.362,187.362,170.461
30/07/2002,187.362,187.362,187.362,168.114
31/07/2002,187.362,187.362,187.362,165.046
01/08/2002,187.362,187.362,187.362,168.057
02/08/2002,187.362,187.362,187.362,165.577
05/08/2002,187.362,187.362,187.362,159.129
06/08/2002,187.362,187.362,187.362,159.554
07/08/2002,187.362,187.362,187.362,165.711
08/08/2002,187.362,187.362,187.362,168.854
09/08/2002,187.362,187.362,187.362,166.827
12/08/2002,187.362,187.362,187.362,165.964
13/08/2002,187.362,187.362,187.362,169.338
14/08/2002,187.362,187.362,187.362,172.416
15/08/2002,187.362,187.362,187.362,174.023
16/08/2002,187.362,187.362,187.362,174.192
19/08/2002,187.362,187.362,187.362,178.657
20/08/2002,187.362,187.362,187.362,178.474
21/08/2002,187.362,187.362,187.362,180.67
22/08/2002,187.362,187.362,187.362,182.683
23/08/2002,187.362,187.362,187.362,179.243
26/08/2002,187.362,187.362,187.362,177.386
27/08/2002,187.362,187.362,187.362,181.739
28/08/2002,187.362,187.362,187.362,178.631
29/08/2002,187.362,187.362,187.362,171.523
30/08/2002,187.362,187.362,187.362,170.434
02/09/2002,187.362,187.362,187.362,168.911
03/09/2002,187.362,187.362,187.362,169.26
04/09/2002,171.887,171.887,171.887,171.887
05/09/2002,171.887,171.887,171.887,169.529
06/09/2002,171.887,171.887,171.887,171.232
09/09/2002,171.887,171.887,171.887,171.181
