Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
31/05/2002,80.328,80.328,80.328,81.583
03/06/2002,80.328,80.328,80.328,81.034
04/06/2002,80.328,80.328,80.328,80.754
05/06/2002,80.328,80.328,80.328,79.099
06/06/2002,80.328,80.328,80.328,75.994
07/06/2002,80.328,80.328,80.328,74.768
10/06/2002,80.328,80.328,80.328,77.659
11/06/2002,80.328,80.328,80.328,75.823
12/06/2002,80.328,80.328,80.328,72.677
13/06/2002,80.328,80.328,80.328,72.747
14/06/2002,80.328,80.328,80.328,70.317
17/06/2002,80.328,80.328,80.328,72.373
18/06/2002,80.328,80.328,80.328,72.469
19/06/2002,80.328,80.328,80.328,70.057
20/06/2002,80.328,80.328,80.328,65.54
21/06/2002,80.328,80.328,80.328,61.749
24/06/2002,80.328,80.328,80.328,62.08
25/06/2002,80.328,80.328,80.328,64.651
26/06/2002,80.328,80.328,80.328,64.237
27/06/2002,80.328,80.328,80.328,65.843
28/06/2002,80.328,80.328,80.328,66.565
01/07/2002,80.328,80.328,80.328,65.881
02/07/2002,80.328,80.328,80.328,64.26
03/07/2002,80.328,80.328,80.328,64.396
04/07/2002,80.328,80.328,80.328,65.227
05/07/2002,80.328,80.328,80.328,63.747
08/07/2002,80.328,80.328,80.328,64.229
09/07/2002,80.328,80.328,80.328,64.544
10/07/2002,80.328,80.328,80.328,63.662
11/07/2002,80.328,80.328,80.328,64.408
12/07/2002,80.328,80.328,80.328,65.807
15/07/2002,63.65,63.65,63.65,63.65
16/07/2002,63.65,63.65,63.65,63.501
17/07/2002,63.65,63.65,63.65,64.16
18/07/2002,63.65,63.65,63.65,64.164
19/07/2002,63.65,63.65,63.65,63.7
22/07/2002,63.65,63.65,63.65,59.863
23/07/2002,63.65,63.65,63.65,57.953
24/07/2002,63.65,63.65,63.65,58.453
25/07/2002,63.65,63.65,63.65,55.635
26/07/2002,63.65,63.65,63.65,52.663
29/07/2002,63.65,63.65,63.65,51.488
30/07/2002,63.65,63.65,63.65,49.345
31/07/2002,63.65,63.65,63.65,47.291
01/08/2002,63.65,63.65,63.65,49.781
02/08/2002,63.65,63.65,63.65,56.796
05/08/2002,63.65,63.65,63.65,54.232
06/08/2002,63.65,63.65,63.65,52.5
07/08/2002,63.65,63.65,63.65,55.509
08/08/2002,63.65,63.65,63.65,61.547
09/08/2002,63.65,63.65,63.65,58.982
12/08/2002,63.65,63.65,63.65,55.763
13/08/2002,63.65,63.65,63.65,52.175
14/08/2002,63.65,63.65,63.65,51.682
15/08/2002,50.985,50.985,50.985,50.985
16/08/2002,50.985,50.985,50.985,52.634
19/08/2002,50.985,50.985,50.985,53.118
20/08/2002,50.985,50.985,50.985,52.885
21/08/2002,50.985,50.985,50.985,53.545
22/08/2002,50.985,50.985,50.985,53.824
23/08/2002,50.985,50.985,50.985,54.189
26/08/2002,50.985,50.985,50.985,56.703
27/08/2002,50.985,50.985,50.985,58.158
28/08/2002,50.985,50.985,50.985,56.798
29/08/2002,50.985,50.985,50.985,56.303
30/08/2002,50.985,50.985,50.985,58.067
02/09/2002,50.985,50.985,50.985,58.184
03/09/2002,50.985,50.985,50.985,56.706
04/09/2002,50.985,50.985,50.985,55.925
05/09/2002,50.985,50.985,50.985,54.969
06/09/2002,50.985,50.985,50.985,54.599
09/09/2002,50.985,50.985,50.985,56.017
10/09/2002,50.985,50.985,50.985,56.824
11/09/2002,50.985,50.985,50.985,58.175
12/09/2002,50.985,50.985,50.985,57.509
13/09/2002,50.985,50.985,50.985,57.415
16/09/2002,50.985,50.985,50.985,55.331
17/09/2002,50.985,50.985,50.985,53.569
18/09/2002,50.985,50.985,50.985,51.161
19/09/2002,50.985,50.985,50.985,49.926
20/09/2002,50.985,50.985,50.985,49.702
23/09/2002,50.985,50.985,50.985,47.502
24/09/2002,50.985,50.985,50.985,46.52
25/09/2002,50.985,50.985,50.985,44.208
26/09/2002,50.985,50.985,50.985,44.372
27/09/2002,50.985,50.985,50.985,41.43
30/09/2002,50.985,50.985,50.985,40.497
01/10/2002,50.985,50.985,50.985,43.593
02/10/2002,50.985,50.985,50.985,45.22
03/10/2002,50.985,50.985,50.985,45.312
04/10/2002,50.985,50.985,50.985,45.825
07/10/2002,50.985,50.985,50.985,44.385
08/10/2002,50.985,50.985,50.985,43.927
09/10/2002,50.985,50.985,50.985,41.645
10/10/2002,50.985,50.985,50.985,41.788
11/10/2002,50.985,50.985,50.985,41.073
14/10/2002,50.985,50.985,50.985,40.208
15/10/2002,40.322,40.322,40.322,40.322
16/10/2002,40.322,40.322,40.322,40.08
17/10/2002,40.322,40.322,40.322,41.454
18/10/2002,40.322,40.322,40.322,42.672
21/10/2002,40.322,40.322,40.322,42.541
22/10/2002,40.322,40.322,40.322,43.347
23/10/2002,40.322,40.322,40.322,46.278
24/10/2002,40.322,40.322,40.322,46.695
25/10/2002,40.322,40.322,40.322,48.668
28/10/2002,40.322,40.322,40.322,48.171
29/10/2002,40.322,40.322,40.322,47.007
30/10/2002,40.322,40.322,40.322,50.066
31/10/2002,40.322,40.322,40.322,52.043
01/11/2002,40.322,40.322,40.322,52.265
04/11/2002,40.322,40.322,40.322,52.152
05/11/2002,40.322,40.322,40.322,50.631
06/11/2002,40.322,40.322,40.322,49.859
07/11/2002,40.322,40.322,40.322,50.19
08/11/2002,40.322,40.322,40.322,51.776
11/11/2002,40.322,40.322,40.322,52.494
12/11/2002,40.322,40.322,40.322,50.617
13/11/2002,40.322,40.322,40.322,49.51
14/11/2002,40.322,40.322,40.322,49.909
15/11/2002,49.794,49.794,49.794,49.794
18/11/2002,49.794,49.794,49.794,52.312
